mol_name,activity,potency
CHEMBL1909836,Active,5.173925197299173
CHEMBL1834375,Active,6.308034897232639
CHEMBL1688269,Active,6.312723781931069
CHEMBL3656988,Active,9.5016894462104
CHEMBL3653302,Active,8.661543506
CHEMBL3639860,Active,8.275724130399212
CHEMBL199341,Active,7.301029995663981
CHEMBL4072993,Active,7.761953896871204
CHEMBL3683156,Active,8.568636235841012
CHEMBL3649923,Active,8.823908740944319
CHEMBL3653333,Active,8.698970004336019
CHEMBL3649834,Active,8.198367653766834
CHEMBL3407557,Active,9.4089353929735
CHEMBL3649939,Active,8.698970004336019
CHEMBL1689403,Active,7.853871964321762
CHEMBL3649955,Active,7.958607314841775
CHEMBL1688284,Active,5.055517327849831
CHEMBL3653170,Active,9.744727494896694
CHEMBL3665613,Active,6.3656587830623055
CHEMBL3691792,Active,9.809668301829708
CHEMBL1834288,Active,6.732828271596986
CHEMBL3653311,Active,6.866461091629782
CHEMBL3601323,Active,8.602059991327963
CHEMBL3125521,Active,10.0
CHEMBL3691716,Active,7.647817481888637
CHEMBL3236649,Active,9.397940008672037
CHEMBL3649904,Active,7.180456064458131
CHEMBL3649880,Active,7.089731428380933
CHEMBL3109051,Active,7.769551078621726
CHEMBL3407578,Active,5.0726296369609765
CHEMBL3798260,Active,6.573488739
CHEMBL3233131,Active,8.022276394711152
CHEMBL3693971,Active,6.301029995663981
CHEMBL3125523,Active,8.628932138
CHEMBL3665585,Active,5.395711832122117
CHEMBL3657085,Active,7.116111542111519
CHEMBL3649942,Active,8.522878745280337
CHEMBL3653297,Active,8.55284196865778
CHEMBL3649829,Active,7.392544976785332
CHEMBL3653248,Active,8.785156151952302
CHEMBL4170591,Active,7.096910013008056
CHEMBL3260821,Active,8.698970004336019
CHEMBL3653178,Active,9.886056647693163
CHEMBL3649871,Active,8.154901959985743
CHEMBL5204846,Active,7.761953896871204
CHEMBL1688274,Active,6.578396073130168
CHEMBL3683157,Active,8.443697499232712
CHEMBL3657030,Active,7.872895201635192
CHEMBL3691738,Active,6.296021174991614
CHEMBL3691784,Active,5.8887374863409345
CHEMBL3683151,Active,7.818156412055227
CHEMBL3683171,Active,10.045757490560675
CHEMBL3691769,Active,9.17979854051436
CHEMBL4114365,Active,5.301029995663981
CHEMBL4096776,Active,6.647817481888637
CHEMBL3125513,Active,8.886056647693163
CHEMBL3649940,Active,8.522878745280337
CHEMBL4453832,Active,6.494850021680094
CHEMBL3691762,Active,9.447331783887806
CHEMBL3649958,Active,8.0
CHEMBL5185313,Active,7.943095148663527
CHEMBL3691791,Active,9.7825161
CHEMBL3653193,Active,9.568636235841012
CHEMBL4077946,Active,6.892790030352131
CHEMBL3601398,Active,8.90308999
CHEMBL3925339,Active,9.0
CHEMBL4514512,Active,9.096910013008056
CHEMBL4084366,Active,8.154901959985743
CHEMBL3649840,Active,7.610833915635467
CHEMBL3665586,Active,7.130768280269024
CHEMBL3797331,Active,6.649751981665837
CHEMBL3355410,Active,7.070581074285707
CHEMBL3683183,Active,8.420216403
CHEMBL3981908,Active,5.301029995663981
CHEMBL3703340,Active,8.086716098239581
CHEMBL3236643,Active,8.958607315
CHEMBL3981634,Active,6.221848749616356
CHEMBL4095983,Active,8.105130343254748
CHEMBL3665580,Active,6.0
CHEMBL3647050,Active,8.045757490560675
CHEMBL3109054,Active,7.2839966563652006
CHEMBL3355429,Active,7.698970004336019
CHEMBL3220097,Active,6.522878745280337
CHEMBL3656980,Active,9.494850021680094
CHEMBL3125528,Active,9.0
CHEMBL3691760,Active,9.343901797987169
CHEMBL4537250,Active,9.356547324
